날짜,루틴,팩,항목,무엇,근거파일,고침여부
2026-09-07,pack-qa-spec-b,"해당없음",해당없음,"⚠ 이번에도 분배표 없이 출발했다. 나는 01:09 에 시작했는데 검수/2026-09-07_분배.json 은 01:20 에 생겼다 — 두 주째다. ⛔ 게다가 이번 주는 몫이 «달라졌다»: 반려동물케어가 pack-qa-new 에서 나(spec-b)로 넘어와 매칭·장비렌탈·인테리어·반려동물케어 4업종 16벌이 내 몫이다. 지난주 몫(3업종)을 흉내 내고 있었다면 반려동물케어를 아무도 안 봤을 것이다. 분배표가 뜬 뒤 알아채고 반려동물케어를 처음부터 다시 걸었다. 판단대기 「2026-09-01_분배와_검수_시각이_겹침」에 증거 한 줄을 더한다","검수/2026-09-07_분배.json · 루틴/_시각표.json",해당없음
2026-09-07,pack-qa-spec-b,"장비렌탈_디럭스",C · 겉과 속,"⛔ 프리셋 이름과 실제 색이 갈려 있었다 — 이름은 「내추럴 그린」인데 완성화면 --primary 는 #147A3A 이고, 팩이 손님에게 주는 디자인프리셋 가이드는 #15803D 였다. ⭐ 재 보니 «가이드 쪽이 틀렸다»: #15803D 는 이 테마의 페이지 배경(#F0EFEB) 위 4.36 이고, 이 팩이 실제로 쓰는 배지 자리(.badge.b-ok — background:--pri-10 위 color:--primary)에서는 4.39 다. 둘 다 4.5 미달이라, 손님에게 「4.5 이상을 지키세요」라고 시키면서 우리 가이드가 그걸 어기고 있었다. 09-03 대비 쓸어내기가 완성화면만 #147A3A(4.71 · 4.74)로 내리고 뿌리·가이드는 옛 값에 남겨 둔 자리다. 뿌리 셋을 완성화면에 맞췄다 — lib/design-presets.ts(primary·표시표·스와치·주석 넷) · lib/preset-pack.ts(primary 와 success·warning·danger) · _작업/팩검사.mjs(제 안의 색 표. 파일 스스로 「뿌리에서 옮긴 값」이라고 적어 두었다). success #15803D→#14793A · warning #A16207→#774806 은 배경 위 4.36 · 4.28 로 역시 미달이었고, danger #B91C1C→#AF1B1B 는 옛 값도 넘겼지만 화면과 가이드가 갈리지 않게 함께 맞췄다. check-presets 가 「뿌리와 손님이 받는 프리셋의 색값이 6종 모두 같습니다」로 통과하고, 팩검사의 프리셋 경고도 사라졌다. ⚠ 내추럴 그린 가이드를 든 여덟 팩(매칭 4 · 장비렌탈 4)의 디자인프리셋 문서를 다시 구워야 한다 — 대기 파일 여덟을 남겼다","lib/design-presets.ts:253·353·500·1306 · lib/preset-pack.ts:265·284 · _작업/팩검사.mjs:139 · 판매용_템플릿/_판매팩/장비렌탈_디럭스/완성화면/assets/css/base.css:18",고침
2026-09-07,pack-qa-spec-b,"장비렌탈_디럭스",G11 · 토스트가 말만 하나,"⛔ 수량 «−/＋» 를 눌러도 숫자가 한 칸도 안 움직였다. 그런데 화면은 「수량을 바꿨어요. 합계가 다시 계산됩니다」라고 말하고 있었다 — 이 팩에서는 석 장이 그랬다(CT-01 · PD-02 · PD-03. 같은 것이 프리미엄 여섯 장에도 있어 그 줄에 따로 적었다). ⭐ 뿌리는 «이름이 갈린 것»이다: 다른 팩(공동구매·뷰티샵·여행·LMS)의 손잡이는 '.stepper button' 만 잡는데 이 팩 마크업은 <div class=""step""> 이고, 게다가 이 팩 app.js 에는 그 손잡이가 아예 «없었다». 검수항목 G9(헛선택자)와 같은 종류인데 여기는 선택자가 아예 없는 쪽이라 check-헛선택자도 못 잡는다. ⛔ check-반응은 토스트가 뜨면 «반응»으로 세므로 아홉 화면 모두 통과시켰다(FAIL 0). 두 팩 app.js 에 집안 방식대로 손잡이를 넣었다 — 방향은 data-step 이 없으므로 화면에 적힌 aria-label(줄이기/늘리기)과 글자(−/＋)로 가르고, 가장 적은 수는 1 이다(빼는 일은 옆의 «빼기» 단추가 한다). 돈은 «화면에 이미 적힌 값»으로만 다시 센다 — 단가는 (줄 값 ÷ 처음 수량)으로 한 번 재고 할인율은 그 줄의 「N%」를 읽는다. 지어내지 않았고, 그 짜임이 아닌 화면에서는 수량만 움직이고 조용히 물러난다. ⚠ 보증금도 함께 따라가게 했다 — 대여료만 따라가면 한 화면 안에서 셈이 갈린다(검수공통 2절). 브라우저로 눌러 확인: CT-01 수량 2→3 에서 대여료 319,800→458,700 · 할인 10% 45,870 · 보증금 260,000→360,000 · 지금 낼 돈 412,830 까지 다 따라온다. ⛔ 되돌아본 것 하나 — 처음 넣은 코드가 정규식의 역슬래시를 먹혀 /[^d]/ 가 되는 바람에 줄 값이 0원이 됐다. 브라우저로 열어 보고서 알았다(검수공통 2절 마지막 경고 그대로다). 열어 보지 않았으면 «고쳤다»고 적고 망가뜨릴 뻔했다","판매용_템플릿/_판매팩/장비렌탈_디럭스/완성화면/assets/js/app.js",고침
2026-09-07,pack-qa-spec-b,"장비렌탈_프리미엄",G11 · 토스트가 말만 하나,"⛔ 수량 «−/＋» 를 눌러도 숫자가 한 칸도 안 움직였다. 그런데 화면은 「수량을 바꿨어요. 합계가 다시 계산됩니다」라고 말하고 있었다 — 이 팩에서는 여섯 장이 그랬다(CT0101 · CT0104 · PD0201 · PD0206 · PD0301 · RT0602. 같은 것이 디럭스 석 장에도 있어 그 줄에 따로 적었다). ⭐ 뿌리는 «이름이 갈린 것»이다: 다른 팩(공동구매·뷰티샵·여행·LMS)의 손잡이는 '.stepper button' 만 잡는데 이 팩 마크업은 <div class=""step""> 이고, 게다가 이 팩 app.js 에는 그 손잡이가 아예 «없었다». 검수항목 G9(헛선택자)와 같은 종류인데 여기는 선택자가 아예 없는 쪽이라 check-헛선택자도 못 잡는다. ⛔ check-반응은 토스트가 뜨면 «반응»으로 세므로 아홉 화면 모두 통과시켰다(FAIL 0). 두 팩 app.js 에 집안 방식대로 손잡이를 넣었다 — 방향은 data-step 이 없으므로 화면에 적힌 aria-label(줄이기/늘리기)과 글자(−/＋)로 가르고, 가장 적은 수는 1 이다(빼는 일은 옆의 «빼기» 단추가 한다). 돈은 «화면에 이미 적힌 값»으로만 다시 센다 — 단가는 (줄 값 ÷ 처음 수량)으로 한 번 재고 할인율은 그 줄의 「N%」를 읽는다. 지어내지 않았고, 그 짜임이 아닌 화면에서는 수량만 움직이고 조용히 물러난다. ⚠ 보증금도 함께 따라가게 했다 — 대여료만 따라가면 한 화면 안에서 셈이 갈린다(검수공통 2절). 브라우저로 눌러 확인: CT0101 수량 2→5 에서 대여료 319,800→736,500 · 할인 10% 73,650 · 보증금 260,000→560,000 · 지금 낼 돈 662,850, 그리고 − 를 다섯 번 눌러도 1 에서 멈춘다. ⛔ 되돌아본 것 하나 — 처음 넣은 코드가 정규식의 역슬래시를 먹혀 /[^d]/ 가 되는 바람에 줄 값이 0원이 됐다. 브라우저로 열어 보고서 알았다(검수공통 2절 마지막 경고 그대로다). 열어 보지 않았으면 «고쳤다»고 적고 망가뜨릴 뻔했다","판매용_템플릿/_판매팩/장비렌탈_프리미엄/완성화면/assets/js/app.js",고침
2026-09-07,pack-qa-spec-b,"매칭_프리미엄",C4 · 손님 화면의 말,"⛔ 조사가 떨어져 나온 자리 아홉 — 「깔끔한하루 을 비교에서 뺐어요」·「박준호 기사 을」·「세컨홈 인테리어 을」·「수학하는김쌤 을」·「한결이사 을」·「첫 이용 20% 할인 를 적용했어요」·「재이용 15% 할인 를」·「이사 분야 1만원 를」·「800 P 를 드렸습니다」. 받침을 안 보고 「을」·「를」을 고정으로 박아 두었다. app.js 에는 조사붙이기가 있는데 굽는 코드에는 없었다. ⭐ 장비렌탈 ui.mjs 의 조사붙이기(끝이 숫자면 읽는 소리로 가르고 닫는 괄호는 건너뛴다 — 「1만원을」·「800 P를」·「(2개)를」)를 매칭 ui.mjs 에 그대로 옮기고, 굽는 코드 네 자리가 그것을 쓰게 했다. ⛔ 굽는 코드와 이미 구워진 화면을 «함께» 고쳤다 — 화면만 고치면 다시 굽는 순간 되돌아간다(판매팩_자동화_지시서 3-f · 09-03 에 매칭 HO0103 이 똑같이 당했다). 고친 뒤 굽는 코드를 실제로 불러 아홉 낱말이 화면과 «한 글자도» 같게 나오는 것을 확인했다","판매용_템플릿/_판매팩/매칭_프리미엄/완성화면/build/ui.mjs · build/pages-ch-py-my-rv-sub.mjs:291·801 · build/pages-rq-qt-sub.mjs:688·702 · pages/{PY0103,QT0203,RV0104}.html",고침
2026-09-07,pack-qa-spec-b,"매칭_{디럭스,프리미엄} · 인테리어_{디럭스,프리미엄}",G11 · 토스트가 말만 하나,"⛔ «말만 하는» 자리 일곱을 더 찾았다. 브라우저로 눌러 토스트를 뺀 화면 글자를 앞뒤로 견주었고 «한 글자도» 안 바뀌었다 — ① 매칭 SE-01·SE0101 「필터를 적용했어요」(목록이 안 줄어든다) ② 매칭 MY0103 「그 기간으로 걸렀어요」 ③ 매칭 PY-01·PY0101 「보유 포인트를 모두 적용했어요」 ④ 매칭 PY0103 쿠폰 세 개 「…을 적용했어요」 — 이 화면은 제 입으로 「조건을 바꾸시면 이 숫자가 바로 따라옵니다」라고 약속해 놓고 서비스 금액 280,000 · 할인 −56,000 · 결제 금액 221,760 이 그대로다(검수항목 G10) ⑤ 인테리어_디럭스 CS-01 「조건을 적용했어요」 ⑥ 인테리어_프리미엄 PR0401 「승인했어요. 공정표에 반영됩니다」 ⑦ 장비렌탈 PD·RT 여섯 장은 수량은 이제 움직이지만 약속한 «달력 가능일»·«배상액»은 그대로다. ⚠ 안 고쳤다 — 거르는 장치도 쿠폰 셈도 이 팩들에 «아예 없어»(data-filter 류 0곳) 새로 만드는 일이고, 09-02 인테리어 손검수도 같은 자리(PR0301·AS0101)를 찾아 놓고 현님 몫으로 남겼다. 판단대기에 한 칸으로 올렸다. ⭕ 헛짚음이 아니라는 것은 확인했다 — 인테리어_프리미엄 HO0101 은 09-02 에 고친 그대로 잘 돌고(평수 칩을 누르면 화면이 바뀐다), 반려동물케어 PL0402·MG0203 의 「저장했어요」류는 지금 눈에 바뀔 것이 없는 게 맞아 흠이 아니다","판매용_템플릿/_판매팩/매칭_프리미엄/완성화면/pages/{SE0101,MY0103,PY0103}.html · 인테리어_디럭스/완성화면/pages/CS-01.html · 검수/판단대기.json",해당없음
2026-09-07,pack-qa-spec-b,"해당없음",B14 · 실어 보내는 검사 글,"⚠ check-zip 이 32칸 64건을 「07·11 의 검수 글이 지금 코드와 다릅니다」로 울지만 «내 팩의 흠이 아니다». 열어서 견주니 다른 곳은 딱 한 자리 — lib/export/화면검수-글.ts 의 /s+/ 를 /s+/ 로 고친 userpack 이 오늘 커밋한 fb263a13 「손님이 붙여 넣는 검사 글에서 「s」의 역슬래시가 빠져 있었다」이다. 팩 열둘은 HEAD 판 글을 «그대로» 담고 있어 성하다. ⛔ 그 손질이 커밋됐으니 이제 32칸을 다시 구워야 손님에게 간다 — 안 그러면 손님이 받는 코드의 「전체 동의」 같은 두 줄짜리 이름표를 못 알아본다. 마무리 몫으로 넘긴다. 내 몫 16벌은 7-0 두 갈래 안내 · 7-9-2 · 7-9-3 · 6-끝 · 11_내사이트_검수하는_법.html 이 모두 1개씩 제자리에 있는 것을 세어 확인했다","lib/export/화면검수-글.ts (커밋 안 된 손질) · check-zip.mts:110",마무리에넘김(fb263a13 반영하러 32칸 다시 구울 것)
2026-09-07,pack-qa-spec-b,"매칭_{디럭스,프리미엄}",H9 · 글자 대비,"손님에게 파는 그 검수 글로 내 몫 16벌 647장을 다 쟀다(check-팩전부검수). 흠은 4건뿐이고 넷 다 네이버 단추(AU-01·AU-02·AU0101·AU0201 의 button.sns-btn — 흰 글자 on #03C75A, 대비 2.25)다. 09-03 에 「네이버가 정한 단추라 현님이 정하실 일」로 일부러 남긴 그 14건 가운데 내 몫 4건이다. ⛔ 새 흠으로 올리지 않는다. 장비렌탈 198장 · 인테리어 247장 · 반려동물케어 213장은 0건으로 깨끗하다","판매용_템플릿/_판매팩/매칭_{디럭스,프리미엄}/완성화면/pages/AU*.html",해당없음
2026-09-07,pack-qa-spec-b,"장비렌탈_{디럭스,프리미엄}",C · 굳은 날짜,"팩검사가 「앞날 날짜가 하나도 없다」로 운다 — 장비렌탈_디럭스 13가지 · 프리미엄 26가지가 전부 오늘(2026-09-07)보다 지난 날짜다. ⛔ 판단대기 「2026-09-01_견본날짜_통째로지남」(상태 기다림)과 같은 건이라 새로 올리지 않고 뒤 절반 숫자만 여기 적는다. 매칭은 디럭스 28가지 중 26 · 프리미엄 41 중 37, 인테리어는 4 중 1 · 13 중 8, 반려동물케어는 31 중 29 · 48 중 36 이 지났다","검수/판단대기.json · _작업/팩검사.mjs",해당없음
2026-09-07,pack-qa-spec-b,"내 몫 16벌",A·B·G · 기계 검사 전수,"전수재검을 다 돌렸고 내 몫은 다음과 같다 — 팩검사(끊어진 링크 0 · 없는 그림 0 · 외톨이 0 · 요일 어긋남 0) · check-헛선택자(0건) · check-반응(못 넘긴 것 0건, 여덟 팩 전부) · check-값셈 · check-곱셈 · check-총액합계(다 맞음) · check-사진채움 · check-평평함 · check-겉표지(내 네 업종 다 제자리) · check-스펙팩글(통과) · check-design · check-pack(통과). 고친 뒤에도 값셈·곱셈·총액합계·헛선택자·팩전부검수를 다시 돌려 되돌아간 것이 없음을 확인했다. ⚠ check-zip날짜가 32벌을 다 낡았다고 울지만 분배표가 「30벌은 줄끝만 바뀐 헛짚음」이라고 이미 재어 두었다 — 새로 세지 않는다","_작업/팩검사.mjs · check-*.mts",해당없음
