날짜,루틴,팩,항목,무엇,근거파일,고침여부
2026-08-19,pack-qa-spec-b,장비렌탈_디럭스,디자인프리셋,레트로 페이퍼 on-primary 가 #111111 로 남아 있었다 — 뿌리(lib/preset-pack.ts)는 8/18 에 흰색으로 바뀌었다. 색표와 버튼(주요) 두 자리를 #FFFFFF·글자 19px 로 맞췄다,판매용_템플릿/_판매팩/장비렌탈_디럭스/디자인프리셋/가이드_03_레트로페이퍼.md:39·573·631 + 같은이름.json:21·107,고침
2026-08-19,pack-qa-spec-b,장비렌탈_스탠다드,디자인프리셋,위와 같음 (같은 업종 다른 등급),판매용_템플릿/_판매팩/장비렌탈_스탠다드/디자인프리셋/가이드_03_레트로페이퍼.md·json,고침
2026-08-19,pack-qa-spec-b,장비렌탈_플러스,디자인프리셋,위와 같음,판매용_템플릿/_판매팩/장비렌탈_플러스/디자인프리셋/가이드_03_레트로페이퍼.md·json,고침
2026-08-19,pack-qa-spec-b,장비렌탈_프리미엄,디자인프리셋,위와 같음,판매용_템플릿/_판매팩/장비렌탈_프리미엄/디자인프리셋/가이드_03_레트로페이퍼.md·json,고침
2026-08-19,pack-qa-spec-b,인테리어_디럭스,디자인프리셋,위와 같음,판매용_템플릿/_판매팩/인테리어_디럭스/디자인프리셋/가이드_03_레트로페이퍼.md·json,고침
2026-08-19,pack-qa-spec-b,인테리어_스탠다드,디자인프리셋,위와 같음,판매용_템플릿/_판매팩/인테리어_스탠다드/디자인프리셋/가이드_03_레트로페이퍼.md·json,고침
2026-08-19,pack-qa-spec-b,인테리어_플러스,디자인프리셋,위와 같음,판매용_템플릿/_판매팩/인테리어_플러스/디자인프리셋/가이드_03_레트로페이퍼.md·json,고침
2026-08-19,pack-qa-spec-b,인테리어_프리미엄,디자인프리셋,위와 같음,판매용_템플릿/_판매팩/인테리어_프리미엄/디자인프리셋/가이드_03_레트로페이퍼.md·json,고침
2026-08-19,pack-qa-spec-b,매칭(4등급),디자인프리셋,레트로 테마를 안 쓰는 업종이라 해당 없음 (네이비·모노·그린),판매용_템플릿/_판매팩/매칭_디럭스/디자인프리셋/,해당없음
2026-08-19,pack-qa-spec-b,장비렌탈_디럭스,완성화면 JS,「전체」가 든 칩 묶음에서 「전체」와 「텐트」가 «같이 켜졌다» — 새 지시 ① 그대로. 전체가 든 묶음만 한 개만 골리도록 고쳤다. 고른 것에 ✕ 가 붙은 여러개고르기 묶음은 건드리지 않았다,판매용_템플릿/_판매팩/장비렌탈_디럭스/완성화면/assets/js/app.js:49~66,고침
2026-08-19,pack-qa-spec-b,장비렌탈_프리미엄,완성화면 JS,위와 같음,판매용_템플릿/_판매팩/장비렌탈_프리미엄/완성화면/assets/js/app.js:49~66,고침
2026-08-19,pack-qa-spec-b,인테리어_디럭스,완성화면 JS,위와 같음,판매용_템플릿/_판매팩/인테리어_디럭스/완성화면/assets/js/app.js:48~65,고침
2026-08-19,pack-qa-spec-b,인테리어_프리미엄,완성화면 JS,위와 같음,판매용_템플릿/_판매팩/인테리어_프리미엄/완성화면/assets/js/app.js:41~58,고침
2026-08-19,pack-qa-spec-b,매칭_디럭스,완성화면 JS,위와 같음 (매칭은 「전체」 든 묶음이 없어 지금 바뀌는 화면은 없다 — 다음에 생길 때를 막아 둔다),판매용_템플릿/_판매팩/매칭_디럭스/완성화면/assets/js/app.js:41~58,고침
2026-08-19,pack-qa-spec-b,매칭_프리미엄,완성화면 JS,위와 같음,판매용_템플릿/_판매팩/매칭_프리미엄/완성화면/assets/js/app.js:41~58,고침
2026-08-19,pack-qa-spec-b,장비렌탈_디럭스,완성화면 CSS,새 뿌리규칙 「겹쳐 놓는 단추는 z-index 를 준다」에 맞춰 .heart 에 z-index:2 를 넣었다. ⚠ 재 보니 이 팩의 하트는 «고치기 전에도 눌렸다» — 고장을 고친 것이 아니라 규칙에 맞춘 것이다,판매용_템플릿/_판매팩/장비렌탈_디럭스/완성화면/assets/css/base.css:247,고침
2026-08-19,pack-qa-spec-b,장비렌탈_프리미엄,완성화면 CSS,위와 같음 (재 보니 고치기 전에도 눌렸다),판매용_템플릿/_판매팩/장비렌탈_프리미엄/완성화면/assets/css/base.css:256,고침
2026-08-19,pack-qa-spec-b,인테리어_디럭스,완성화면 CSS,위와 같음,판매용_템플릿/_판매팩/인테리어_디럭스/완성화면/assets/css/base.css:251,고침
2026-08-19,pack-qa-spec-b,인테리어_프리미엄,완성화면 CSS,.ccard .heart 에 z-index:2 가 이미 들어 있었다,판매용_템플릿/_판매팩/인테리어_프리미엄/완성화면/assets/css/base.css:383,해당없음
2026-08-19,pack-qa-spec-b,매칭_디럭스·프리미엄,완성화면 CSS,.heart 가 카드 안에 겹쳐 놓인 단추가 아니라 줄 안에 나란히 놓인 단추(position 없음)라 z-index 가 필요 없다,판매용_템플릿/_판매팩/매칭_디럭스/완성화면/assets/css/base.css:414,해당없음
2026-08-19,pack-qa-spec-b,매칭_디럭스,완성화면 CSS,새 뿌리규칙 「.app 은 grid 2열이라 세로 flex 로 덮지 않는다」에 맞춰 .app 을 푸터 flex 선택자에서 뺐다. 이 팩은 .app 을 안 써서 지금 달라지는 화면은 없다 — 앞으로 사이드바형을 넣을 때 무너지는 것을 막는다,판매용_템플릿/_판매팩/매칭_디럭스/완성화면/assets/css/base.css:841,고침
2026-08-19,pack-qa-spec-b,매칭_프리미엄,완성화면 CSS,위와 같음,판매용_템플릿/_판매팩/매칭_프리미엄/완성화면/assets/css/base.css:856,고침
2026-08-19,pack-qa-spec-b,장비렌탈_디럭스,완성화면 CSS,위와 같음,판매용_템플릿/_판매팩/장비렌탈_디럭스/완성화면/assets/css/base.css:717,고침
2026-08-19,pack-qa-spec-b,장비렌탈_프리미엄,완성화면 CSS,위와 같음,판매용_템플릿/_판매팩/장비렌탈_프리미엄/완성화면/assets/css/base.css:797,고침
