날짜,루틴,팩,항목,무엇,근거파일,고침여부
2026-09-07,pack-qa-spec-a,"여행_디럭스, 공동구매_프리미엄","⭐ 새지시 / 09-03 대비 쓸어내기가 두 팩에서 «옛 화면생성기로 다시 구워» 손질을 지웠다","⛔ 이번 회차에서 제일 큰 것이다. 커밋 55fc7db8·35e16c95 는 글자 대비를 고치는 회차였는데, 내 몫 두 팩에서는 팩에 든 옛 화면생성기(완성화면/build/ui.mjs 등)로 화면을 통째로 다시 굽는 일이 함께 일어났다. 그 바람에 08-19·08-21·09-01 세 회차가 손으로 고쳐 둔 것이 지워졌다. 숫자로 — 여행_디럭스 43장(data-toast 안내 223→126) · 공동구매_프리미엄 125장(850→615). 죽은 자리는 이렇다: 푸터 «카카오톡 상담»·«앱 다운로드» 단추 328개가 눌러도 아무 일 없는 span 이 됐고, 공동구매의 거르개·검색·정렬·「조건에 맞는 공구가 없어요」 빈 목록이 통째로 사라졌고, 요일 넷이 2025년 달력으로 되돌아갔고, 정산 수수료 5% 셈이 1,000원 어긋났고, 겉표지가 없는 파일(가이드_03_소프트파스텔.json)을 가리키게 됐다. ⛔ 그리고 그 상태로 zip 까지 다시 구워져 손님에게 나갔다. 되돌리되 09-03 의 «진짜» 대비·간격 고침 다섯 자리는 그대로 얹었다(별점 --acc-text 3 · 겉표지 accent 견본 · SE0102 간격). 되돌린 뒤 check-반응 1,184개 눌러 죽은 것 0 · 팩검사 0건 · check-겉표지 16/16 참말 · 손님 검수 글 여행_디럭스 0건","판매용_템플릿/_판매팩/여행_디럭스/완성화면/pages/ (43장) · 판매용_템플릿/_판매팩/공동구매_프리미엄/완성화면/pages/ (125장) · 같은 팩 index.html · 사진바꾸기.csv",고침
2026-09-07,pack-qa-spec-a,"LMS·뷰티샵·여행·공동구매 16벌","⭐ 07 스펙팩이 뿌리를 따라왔나 — 안 따라왔다","뿌리로 한 벌 다시 구워(build-template.mts · build-template-deep.mts — lms·beauty·travel·groupbuy) 내 몫 16벌을 한 줄씩 견줬다. 줄끝(CRLF)을 지우고 재면 16벌이 «똑같이 11줄» 다르다. ⛔ 다른 자리가 손님에게 나가는 검사 코드다 — 팩에 실린 글은 replace(/s+/g, "" "") 이고 뿌리는 replace(/s+/g, "" "") 다. 역슬래시가 빠지면 «빈칸»이 아니라 «영문 s 글자»를 찾으므로, 손님이 그 글을 제 화면에 붙여 넣어도 빈칸을 못 접어 두 줄짜리 이름표를 «짧은 글»로 못 알아본다. 오늘 새벽 userpack 이 뿌리를 고쳤고(fb263a13 01:58) 팩은 09-03 03:01 에 구운 것이라 그 뒤로 안 구웠다. 7-9-2 에 새로 붙은 「대비는 7-9 가 잰다」 안내 넉 줄도 빠져 있다. ⛔ 28칸을 내가 굽지 않는다(지시서) — 마무리가 굽는다","_작업/{LMS_온라인강의플랫폼,뷰티샵_예약플랫폼,해외투어_티켓예약,공동구매_공구플랫폼}{,_상세IA}/07_AI빌드_스펙팩.md · 판매용_템플릿/_판매팩/*/07_AI빌드_스펙팩.md",마무리에넘김(스펙팩 다시 구울 것)
2026-09-07,pack-qa-spec-a,"뷰티샵_디럭스, 뷰티샵_프리미엄","⭐ 분배표가 맡긴 것 / 뷰티샵 zip 안 예시 사진이 둘로 겹쳤다","분배표가 「spec-a 가 팩 쪽 넷이 정말 다른지 확인하라」고 맡긴 건이다. 팩 폴더의 아홉 장을 md5 로 재 보니 «넷이 다 다른 그림»이다 — 네일_토끼 ba77f1d2(71,312바이트) · 네일_푸들 cee09f7c(79,530) · 상담_수달 5496aac8(69,716) · 상담_시바 ac838490(84,762). 디럭스·프리미엄 두 팩 다 같다. 즉 팩 폴더는 성했고 zip 만 옛 그림을 담고 있다. 다시 굽는 것은 마무리 몫이다(검수공통 3절)","판매용_템플릿/_판매팩/뷰티샵_{디럭스,프리미엄}/완성화면/assets/img/ · packs/beauty-{deluxe,premium}.zip",마무리에넘김(뷰티샵 두 벌 zip 다시 구울 것)
2026-09-07,pack-qa-spec-a,"뷰티샵_디럭스, 여행_디럭스","C · 겉과 속 / 프리셋 「일렉트릭 바이올렛」이 세 색으로 갈렸다 — 판단대기에 올림","09-01 까지는 뿌리·가이드·두 팩 완성화면이 다 #5B4FE5 로 같았다. 09-03 대비 쓸어내기가 두 팩을 «따로따로» 내려 지금은 뿌리·가이드·겉표지 #5B4FE5 · 뷰티샵_디럭스 #4F43E3 · 여행_디럭스 #4A3CE2 다. 한 프리셋을 산 손님 둘이 서로 다른 보라를 받는다. ⚠ 여행_디럭스 쪽이 여태 조용했던 까닭은 같은 커밋이 그 팩 겉표지를 옛 이름(「소프트 파스텔」)으로 되돌려 놓아 팩검사가 이름을 못 찾고 건너뛰었기 때문이다 — 오늘 겉표지를 고치자 드러났다. 세 값 다 대비 4.5 를 넘겨 대비로는 못 고르고, 맞추려면 lib/design-presets.ts·lib/preset-pack.ts·팩검사 색표를 함께 고쳐야 하는데 오늘 spec-b 가 「내추럴 그린」 건으로 그 셋을 만졌다(ed014c96). 두 손이 겹치므로 손대지 않고 판단대기에 올렸다(2026-09-07_일렉트릭바이올렛_색이_셋으로_갈림)","검수/판단대기.json · 판매용_템플릿/_판매팩/뷰티샵_디럭스/완성화면/assets/css/base.css:13 · 판매용_템플릿/_판매팩/여행_디럭스/완성화면/assets/css/base.css · _작업/팩검사.mjs:141-144",해당없음
2026-09-07,pack-qa-spec-a,"내 몫 여덟 벌","H9 · 글자 대비 / 손님에게 파는 그 검수 글로 내 몫을 다 쟀다","check-팩전부검수 로 완성화면이 든 여덟 벌 710장을 다 쟀다. 흠은 10건뿐이고 «열 건 다 네이버 단추»다(AU-01·AU-02·AC-01 의 button.btn — 흰 글자 on #03C75A, 대비 2.25). 09-03 에 「네이버가 정한 색이라 현님이 정하실 일」로 일부러 남긴 그 자리이므로 손대지 않았다. 그 밖 대비·간격·늘어남·표·메뉴 0건. 분배표가 「거의 0 이 나와야 맞는다」고 한 대로다. 팩별로 — LMS_디럭스 44장 2 · LMS_프리미엄 132장 2 · 뷰티샵_디럭스 49장 2 · 뷰티샵_프리미엄 136장 2 · 여행_디럭스 43장 0 · 여행_프리미엄 144장 0 · 공동구매_디럭스 37장 1 · 공동구매_프리미엄 125장 1","check-팩전부검수.mts · 판매용_템플릿/_판매팩/*/완성화면/pages/AU-0*.html",해당없음
2026-09-07,pack-qa-spec-a,"LMS·뷰티샵·여행·공동구매","A·B·G · 기계 검사 전수재검","분배표가 시킨 전수재검을 다 돌렸다 — 팩검사(끊어진 링크 0 · 없는 그림 0 · 외톨이 0 · 요일 어긋남 0, 되돌린 뒤 기준) · check-값셈 0건 · check-곱셈 11곳 다 맞음 · check-총액합계 2장 다 맞음 · check-겉표지 16/16 참말 · check-presets 통과(뿌리와 손님 프리셋 색값 6종 같음) · check-반응 공동구매_프리미엄 1,184개 눌러 죽은 것 0(봐줄 만한 것 63건은 고른 값이 곧 답인 select). check-헛선택자는 분배 회차가 미리 돌려 16팩 1,113개 선택자 헛것 0건으로 닫았다","_작업/팩검사.mjs · check-값셈.mjs · check-곱셈.mjs · check-총액합계.mjs · check-겉표지.mts · check-presets.mts · check-반응.mts",해당없음
2026-09-07,pack-qa-spec-a,"LMS_프리미엄, 여행_프리미엄, 공동구매_디럭스","G11 · 토스트가 «말만» 하나 — 못 다 봤다","분배표가 「사람 몫」으로 맡긴 것이다. ⛔ 이번 회차는 사람이 없는 자동 회차라 브라우저 미리보기 서버를 띄울 수 없었다(«unattended session» 으로 막힌다). 기계로 좁힐 수 있는 데까지는 좁혔다 — 값이 바뀌었다고 «말하는» 토스트를 내 몫 여덟 벌에서 추려 다음 자리를 다음 회차에 넘긴다: LMS_프리미엄 CO0402 「쿠폰을 적용했어요. 15,800원 할인됩니다」·「할부 개월을 바꿨어요」·「할인율을 바꿨어요», ST0402·GR0402 「진도 기준을 바꿨어요」, 여행_프리미엄 「변경된 가격을 적용했어요」·「10% 첫 예약 쿠폰을 적용했어요」, 공동구매_디럭스 「쿠폰을 적용했어요. 2,000원 할인됩니다」. 09-02 에 나온 «LMS_프리미엄 2 묶음»이 이 가운데 있을 것이다. 알림 켜고 끄는 토스트는 뺐다(스위치가 눈에 보이게 바뀐다)","판매용_템플릿/_판매팩/LMS_프리미엄/완성화면/pages/{CO0402,ST0402,GR0402}.html · 여행_프리미엄 · 공동구매_디럭스",못고침
2026-09-07,pack-qa-spec-a,"여행·공동구매","회차 / 굳은 날짜 — 새로 올리지 않는다","팩검사가 여행 두 벌·공동구매 두 벌에서 「앞날 날짜가 하나도 없다」로 운다(여행_디럭스 30가지 · 여행_프리미엄 33 · 공동구매_디럭스 18 · 공동구매_프리미엄 27). 분배표가 「판단대기 2026-09-01_견본날짜_통째로지남 과 같은 건이니 새 흠으로 또 올리지 마라」고 못 박아 그대로 두었다. 마찬가지로 «생성기가 pages 와 갈림»도 이미 올라와 있어 새로 올리지 않았다 — 다만 그 건이 이번 주에 «실제로 터졌다»는 것을 위 첫 줄에 적어 두었다","검수/판단대기.json · _작업/팩검사.mjs",해당없음
2026-09-07,pack-qa-spec-a,"해당없음","회차 / 분배표가 검수보다 늦게 나왔다 — 세 주째","내가 시작한 때에는 검수/2026-09-07_분배.json 이 없었다(01:20 에 생겼다). 몫과 새지시를 몰라 ① 몫은 지난 회차대로 잡고 ② 새지시는 직접 git 으로 뽑아(기준일 2026-09-01 뒤 바뀐 파일) 일을 시작했다. 나중에 나온 분배표와 맞춰 보니 몫은 똑같았고(LMS·뷰티샵·여행·공동구매) 판매팩에 걸리는 새지시도 겹쳤다. ⚠ 다만 이번 주는 반려동물케어가 pack-qa-new 에서 spec-b 로 넘어간 주라, 내가 그 넷을 지난주처럼 «pack-qa-new 몫»으로 여겨 열지 않은 것이 우연히 맞았다. 판단대기 2026-09-01_분배와_검수_시각이_겹침 에 증거 하나를 더 보탠다","검수/2026-09-07_분배.json · 검수/판단대기.json",해당없음
2026-09-07,pack-qa-spec-a,"해당없음","회차 / 가지가 main 이 아니다","git branch --show-current 가 «diagnose» 를 준다. 검수공통 3절대로 가지를 바꾸지 않고 내가 고친 파일만 이름으로 담았다. 커밋 번호는 보고에 적었다 — 마무리 회차가 그것만 골라 main 으로 옮겨야 한다. 남의 일(.claude/output-styles/카페인컬러-말투.md · spec-b 가 굽는 중인 매칭·장비렌탈·인테리어·반려동물케어 팩 파일)은 손대지 않았다","git · 검수공통.md 3절",해당없음
