날짜,루틴,팩,항목,무엇,근거파일,고침여부
2026-08-25,pack-qa-spec-a,LMS·뷰티샵·여행·공동구매,새지시 / 검수항목.md 두 갈래,「검수는 두 갈래입니다」(7-0)와 「기계가 보는 검수 — 파일만 보고 재기」(7-9-2)가 판매팩 28벌 07_AI빌드_스펙팩.md 에 모두 1회씩 들어 있음 — 내 몫 16벌 포함 28/28. 고칠 것 없음,판매용_템플릿/_판매팩/*/07_AI빌드_스펙팩.md,해당없음
2026-08-25,pack-qa-spec-a,LMS·뷰티샵·여행·공동구매,새지시 / lib/export/spec-pack.ts,뿌리에서 다시 구워(build-template.mts · build-template-deep.mts) 내 몫 16벌(4업종 × 4등급)의 07_AI빌드_스펙팩.md 를 한 자 한 자 견줌 — 16/16 이 똑같음. 판매팩이 묵지 않았음,"_작업/{LMS_온라인강의플랫폼,뷰티샵_예약플랫폼,해외투어_티켓예약,공동구매_공구플랫폼}{,_상세IA}/07_AI빌드_스펙팩.md",해당없음
2026-08-25,pack-qa-spec-a,LMS·뷰티샵·여행·공동구매,새지시 / lib/preset-pack.ts · 디자인프리셋,build-design-presets.mts 로 뿌리에서 뽑아 내 몫 16벌의 디자인프리셋 11개 파일(가이드 3 · 레이아웃 2 의 md·json 짝 + 미리보기)을 견줌 — 16벌 × 11 = 176개가 모두 뿌리와 같음,"판매용_템플릿/_판매팩/{LMS,뷰티샵,여행,공동구매}_*/디자인프리셋/",해당없음
2026-08-25,pack-qa-spec-a,LMS·뷰티샵·여행·공동구매,새지시 / 01~05·08 재료,뿌리에서 다시 구운 것과 팩 안 문서를 파일마다 견줌 — 06_메뉴구조.pptx 만 바이트가 다른데 이는 pptx 안에 굽는 시각이 들어가기 때문이고 내용은 같음. 나머지 문서·엑셀은 전부 같음,_작업/* ↔ 판매용_템플릿/_판매팩/*,해당없음
2026-08-25,pack-qa-spec-a,LMS·뷰티샵·여행·공동구매,새지시 / lib/packages.ts (petcare),반려동물케어가 판매 목록에 새로 떴는지 · 완성화면 없이 팔리지 않는지 확인 — plans 의 site 칸이 네 등급 모두 null 이라 완성화면은 안 나감(디럭스 41화면은 아직 _만드는중). 판매 목록에는 정상으로 뜸. 우리 사이트 코드라 읽기만 함,lib/packages.ts:798-812,해당없음
2026-08-25,pack-qa-spec-a,"LMS_디럭스, LMS_프리미엄, 뷰티샵_디럭스, 뷰티샵_프리미엄, 여행_디럭스, 여행_프리미엄, 공동구매_디럭스, 공동구매_프리미엄",새지시 / _작업/레이아웃검사.mjs (새 검사기),"검사기가 임시 자리 이름을 「cc-layout」으로 못 박아 두어, 같은 시각에 도는 pack-qa-spec-b 와 그 한 자리를 서로 지우고 제 팩을 부어 넣고 있었다. 공동구매를 재라고 했는데 남의 팩(매칭) 화면이 들어 있어 멈췄다 — 쪽 이름이 겹쳤다면 남의 팩을 우리 팩이라고 조용히 재고 지나갔을 자리다. 제 번호(pid)를 붙이도록 고침. 같은 흠이 check-design.mts(cc-design) · _작업/단계표시검사.mjs(cc-hsteps) 에도 있어 함께 고침",_작업/레이아웃검사.mjs:49 · check-design.mts:481 · _작업/단계표시검사.mjs:36,고침
2026-08-25,pack-qa-spec-a,LMS·뷰티샵·여행·공동구매,새지시 / _작업/레이아웃검사.mjs (새 검사기),"내 몫 8벌 710쪽을 폭 1536 · 390 · 360 세 번씩, 모두 2,130회 실제로 그려서 잼 — 가로 넘침 0 · 탭 줄 세로 스크롤바 0 · 푸터 안 붙음 0 · 글자 겹침 0 · CSS 점이 글자 덮음 0","판매용_템플릿/_판매팩/{LMS,뷰티샵,여행,공동구매}_{디럭스,프리미엄}/완성화면/pages/",해당없음
2026-08-25,pack-qa-spec-a,LMS·뷰티샵·여행·공동구매,새지시 / _작업/팩검사.mjs,내 몫 8벌 710쪽 — 끊어진 링크 0 · 없는 그림 0 · 빈 링크 0 · 외톨이 쪽 0 · 요일이 달력과 어긋난 곳 0 · 프리셋 이름과 실제 색 어긋남 0 · 두 등급 레이아웃 갈림 정상,"판매용_템플릿/_판매팩/{LMS,뷰티샵,여행,공동구매}_{디럭스,프리미엄}/",해당없음
2026-08-25,pack-qa-spec-a,LMS·뷰티샵·여행·공동구매,새지시 / 검사기 다섯 재실행,"check-presets · check-pack · check-사진 · check-겉표지 · check-zip 을 새로 돌림 — 모두 통과. check-design 은 내 몫 8벌에 하나씩 돌려 FAIL 0(봐줄 만한 것 5~9건은 .warning 같은 잔글 색 대비 3.3~4.5 로, 검사기가 아이콘·큰 글자면 괜찮다고 스스로 단 것)",check-*.mts,해당없음
2026-08-25,pack-qa-spec-a,"LMS_디럭스, LMS_프리미엄",새지시 / check-눈으로 H7 — 탭인데 뒤로가기가 생김,"마이페이지 네 탭(내 정보·수강 이력·정산 내역)에서 탭을 누르면 MY-01 에 없던 뒤로가기 줄이 생겨 본문이 통째로 30px 아래로 내려갔다. 형제 탭끼리 「‹ 내 정보」로 되돌아가는 링크는 바로 옆 탭과 겹치기도 했다. MY-02·MY-03(MY0201·MY0301)에서 뒤로가기 링크를 빼고, MY-01(MY0101)에 같은 높이의 길잡이 줄을 넣어 세 화면의 탭 자리를 223px 로 맞춤 — 브라우저로 세 화면을 열어 223·223·223 확인","판매용_템플릿/_판매팩/LMS_{디럭스,프리미엄}/완성화면/pages/MY-0{1,2,3}.html · MY0{1,2,3}01.html",고침
2026-08-25,pack-qa-spec-a,"LMS_디럭스, LMS_프리미엄",새지시 / check-눈으로 H11 — 가짜 단추,과제 채점 화면의 「3 / 24」가 옆의 진짜 단추 둘(이전 학생 · 다음 학생)과 흰 바탕·테두리·키 44px 까지 똑같은데 눌리지 않았다. 손님은 셋 다 단추로 본다. 이 팩이 다른 곳에서 「4/4」·「28/30」을 적을 때 쓰는 잔글 표시로 바꿈 — 눌러 확인,판매용_템플릿/_판매팩/LMS_디럭스/완성화면/pages/GR-03.html:33 · LMS_프리미엄/pages/GR0301.html:26,고침
2026-08-25,pack-qa-spec-a,LMS_프리미엄,새지시 / check-눈으로 H7 — 탭이 엉뚱한 곳을 가리킴,강의 상세의 자식 화면 CO0302(커리큘럼 탭)·CO0303(수강 후기 탭)에서 「수강 후기」와 「강사 소개」 탭이 둘 다 CO0301(강의 소개)로 갔다. 이름과 열리는 화면이 달랐다. 같은 팩에 CO0303(수강 후기 탭)·CO0304(강사 소개 탭)가 이미 있고 CO0304 는 제대로 이어져 있었다 — 그 짜임에 맞춰 바로잡음,판매용_템플릿/_판매팩/LMS_프리미엄/완성화면/pages/CO0302.html · CO0303.html,고침
