날짜,루틴,팩,항목,무엇,근거파일,고침여부
2026-08-25,pack-qa-userpack,생성팩(공통),짝맞춤,스펙팩 7장이 두 갈래(7-0 두 갈래 안내 · 7-9 사람 쪽 재는 글 · 7-9-2 기계 쪽 재는 글)로 나뉜 것을 뽑아 확인. 2뎁스·3뎁스 두 벌 모두 「검수는 «두 갈래»입니다」 1회 · 「기계가 보는 검수 — 파일만 보고 재기」 1회. 7장 절 13개(7-0~7-11 + 7-9-2) 겹침 0 · 빠짐 0,_작업/LMS_온라인강의플랫폼/07_AI빌드_스펙팩.md,해당없음
2026-08-25,pack-qa-userpack,생성팩(공통),색갈림,손님이 받는 디자인프리셋의 색이 뿌리와 갈려 있었다 — forest(내추럴 그린)와 coral(코럴 선셋)의 보조 글자색·구분선 네 자리. 그중 forest 의 #5F7268 은 제 페이지 배경(#F0EFEB) 위에서 대비 4.46 으로 같은 파일이 시키는 「4.5 이상」에 미달. 뿌리(lib/design-presets.ts)의 #5B6B60(4.91)·#DBE7DC 와 coral 의 #6E5450·#F6E0D8 로 되돌림,lib/preset-pack.ts:264-278 · 314-330,고침
2026-08-25,pack-qa-userpack,생성팩(공통),색대비,손님이 받는 프리셋_미리보기.html 의 보조 글자 넉 줄(.sub·.lab span·.lay-kv dt·.lay-fit)이 #6B6F76 으로 제 배경(#EFEFF2) 위에서 대비 4.40 — 13px·11.5px 작은 글자인데 4.5 미달이었다. 이 파일이 이미 들고 있는 값 #5F636A 로 맞춰 5.26 으로 올림. 브라우저로 다시 열어 대비 미달 0건 확인(글자덩어리 69개),lib/preset-pack.ts:819-826,고침
2026-08-25,pack-qa-userpack,생성팩(공통),짝맞춤,08 검수시나리오 공통 점검 18줄이 «전부 눌러 봐야 아는 것»뿐이었다. 스펙팩이 이번에 검수를 두 갈래로 나누면서 실어 보낸 「기계가 보는 검수」(끊어진 링크·없는 그림·외톨이 화면·화면 수·글자 대비·굳은 날짜)에는 확인할 칸이 하나도 없었다. 이 파일 자체의 원칙(시킨 것과 보는 것이 같아야 한다)대로 여섯 줄을 더해 18→24줄,lib/export/template-verify.ts:319-354,고침
2026-08-25,pack-qa-userpack,생성팩(공통),검사기,check-presets 가 뿌리와 손님 프리셋의 «이름»만 견주고 «값»은 한 번도 안 견줘서 위 색갈림 네 자리를 못 잡고 있었다. 겹치는 자리의 색값을 다 세도록 붙임. 일부러 갈라 놓고 돌려 보니 forest 한 줄을 정확히 짚고 1로 끝났다,check-presets.mts:315-345,고침
2026-08-25,pack-qa-userpack,생성팩(공통),뽑아보기,2뎁스 한 벌(화면 44개) 뽑아 열어 봄 — 01 메뉴구조 44행 · 02 화면목록 44행 · 03 기능정의서 270행 · 04 WBS 44행 모두 머리줄 정상·빈 줄 0. 08 검수시나리오 288→294 확인항목 · 공통점검 24줄. 07 json 이 화면 44·메뉴 9·이동 65 로 md 와 일치. 05 FLOW 44KB · 06 pptx 117KB 정상,_작업/LMS_온라인강의플랫폼/,해당없음
2026-08-25,pack-qa-userpack,생성팩(공통),뽑아보기,3뎁스 한 벌(화면 132개) 뽑아 열어 봄 — 01/02 132행 · 03 721행 · 04 132행 빈 줄 0. 08 확인항목 739 · 공통점검 24줄. 07 md 7장 성함,_작업/LMS_온라인강의플랫폼_상세IA/,해당없음
2026-08-25,pack-qa-userpack,생성팩(공통),규칙전달,COMMON_RULES 570줄(8/20~8/21 새 규칙 포함 +221줄)이 07 스펙팩과 디자인프리셋 가이드 «양쪽»에 하나도 안 빠지고 실렸는지 한 줄씩 대조 — 07 빠짐 0 · 프리셋가이드 빠짐 0. 한 상수를 둘이 읽어서 갈라질 수 없는 구조임을 확인,lib/design-presets.ts:1447 · lib/export/spec-pack.ts:595,해당없음
2026-08-25,pack-qa-userpack,생성팩(공통),헛짚음,프리셋 미리보기에서 「배지 글자 대비 1.22」 3건이 나왔으나 열어 보니 배경이 #CC490022(13% 옅은 칠)였다 — COMMON_RULES 의 「강조 배지는 accent 10% 배경 + accent-text 글자」 그대로다. 재는 쪽이 알파를 빼고 셌던 것. 알파를 쌓아 다시 재니 0건. 가로 넘침도 창폭 0(스냅숏이라 안 그려짐)에서 난 헛짚음이라 1440 으로 다시 재니 없음,_작업/LMS_온라인강의플랫폼/디자인프리셋/프리셋_미리보기.html,해당없음
2026-08-25,pack-qa-userpack,생성팩(공통),다시굽기,위 셋(디자인프리셋 색 · 08 검수시나리오 여섯 줄 · 미리보기 글자색)은 «손님이 받는 파일을 만드는 코드»를 고친 것이라 이미 구워진 판매팩 28칸에는 안 따라간다. 다시 구워야 손님에게 간다,lib/preset-pack.ts · lib/export/template-verify.ts,마무리에넘김(28칸 07·08·디자인프리셋 다시 구울 것)
2026-08-25,pack-qa-userpack,생성팩(공통),적어둠,반려동물케어(petcare)가 판매 목록(LISTED_IDS)에는 빠져 있으나 상세 페이지는 모든 PACKAGES 로 찍히고 사이트맵에도 실린다. 디럭스가 site.base 41 로 켜져 있어 「이미 만들어 둔 화면 41개」를 내걸지만 packs/petcare-deluxe.zip 이 없고 완성화면은 아직 _만드는중/ 이다. 지금은 PACKAGE_SALE_OPEN 이 꺼져 있어 아무도 못 사지만 그 스위치를 켜는 순간 팔린다. 주문 쪽(application/pack-order.ts)도 LISTED_IDS 를 안 본다,lib/packages.ts:808-813 · app/sitemap.ts:13 · app/(marketing)/packages/[packageId]/page.tsx:47,못고침(우리 사이트 코드는 읽기만)
2026-08-25,pack-qa-userpack,생성팩(공통),적어둠,검수공통 0-2 절과 분배표가 「기계가 보는 검수 27개(A 5 · B 11 · C 3 · F 8)」라고 적었는데 검수항목.md 를 세어 보니 B 가 13개(B12 끊어진 링크·B13 외톨이가 이번에 붙었다)라 실제로는 29개다. 손님이 받는 파일에는 숫자가 안 적혀 있어 영향은 없으나 다섯 루틴이 함께 읽는 글이라 손대지 않았다,검수공통.md:33 · 검수항목.md,마무리에넘김(검수공통 0-2 의 27→29 고칠 것)
2026-08-25,pack-qa-userpack,생성팩(공통),검사기,고친 뒤 다시 돌림 — npx tsc --noEmit 오류 0 · check-presets 통과(뿌리와 손님 프리셋 색값 6종 모두 같음) · check-pack 통과(우리가 아는 규칙이 모두 손님 팩에 들어 있습니다) · 2뎁스·3뎁스 다시 뽑아 07 7장 성함,,해당없음
2026-08-25,pack-qa-userpack,판매팩,해당없음,판매팩은 2·3·4번 몫이라 열지 않았다. 만드는 중인 업종이 있습니다 — 반려동물케어(스탠다드·플러스·디럭스·프리미엄),,해당없음
