날짜,루틴,팩,항목,무엇,근거파일,고침여부
2026-08-19,pack-qa-userpack,생성팩(공통),검사기,check-pack 이 스펙팩 §7 을 못 찾아 FAIL — §7 제목이 「만들고 나서 — 눌러 보기」에서 「만들고 나서 — 눈으로 보고 눌러 보고 고치기」로 바뀐 것을 검사기가 안 따라왔다. 제목 대신 절 번호(## 7. 만들고 나서)를 보게 고침,check-pack.mts:125,고침
2026-08-19,pack-qa-userpack,생성팩(공통),규칙충돌,COMMON_RULES 가 모든 팩에 「.app { display:grid; grid-template-columns: var(--side-w) 1fr }」을 무조건 시켰다. 실제로는 판매팩 14개 중 11개가 .app 을 세로 flex 감싸개로 쓴다(--side-w 도 사이드바 뼈대에만 있다). 글은 「감싸개를 건드리지 마라」인데 예시는 감싸개 정의를 넘겨 주고 있었다. 예시를 빼고 「제 짜임 그대로 둔다」는 말로 바꿈,lib/design-presets.ts:1482-1486,고침
2026-08-19,pack-qa-userpack,생성팩(공통),규칙충돌,COMMON_RULES 의 「.card .heart { position:absolute }」가 줄 안에 서는 하트에도 걸려 자리가 튈 수 있었다. 얹은 단추(.card > .overlay-btn)에만 걸리게 좁히고 기준점(.card{position:relative})을 같이 적음,lib/design-presets.ts:1488-1489,고침
2026-08-19,pack-qa-userpack,생성팩(공통),짝맞춤,스펙팩 §7 에 새 항목 셋(썸네일·배너 눌러보기 / 쪽번호가 결과를 따라가는지 / 화면끼리 숫자·고른 값이 맞는지)이 붙었는데 08 검수시나리오 공통 점검에는 확인 칸이 없었다. 「시킨 것과 보는 것이 같아야 한다」는 이 파일 자체의 원칙대로 셋을 채움 — 공통 점검 15줄에서 18줄로,lib/export/template-verify.ts:278-292,고침
2026-08-19,pack-qa-userpack,생성팩(공통),뽑아보기,2뎁스 한 벌(화면 44개) 뽑아 열어 봄 — 07 md §7 이 7-1부터 7-10까지 겹침·빠짐 없이 성함. json 과 md 가 같은 모델에서 나와 화면 44·메뉴 9·이동 65 로 일치. 01~04 xlsx 머리줄 정상·자료 시트에 빈 줄 0,_작업/LMS_온라인강의플랫폼/,해당없음
2026-08-19,pack-qa-userpack,생성팩(공통),뽑아보기,3뎁스 한 벌(화면 132개) 뽑아 열어 봄 — 07 md §7 성함. json 화면 132·메뉴 9·이동 65 로 md 와 일치,_작업/LMS_온라인강의플랫폼_상세IA/,해당없음
2026-08-19,pack-qa-userpack,생성팩(공통),디자인프리셋,손님이 받는 프리셋 17개 파일을 따로 뽑아 md·json 대조 — 색 값 117개가 모두 md 에도 그대로 있음. 여섯 테마의 on-primary 가 다 #FFFFFF 로 커밋대로 맞음(레트로·코럴 포함),lib/preset-pack.ts,해당없음
2026-08-19,pack-qa-userpack,판매팩,어긋남,판매팩 28칸의 07_AI빌드_스펙팩.md 가 «전부» 옛 .app grid 규칙을 담고 있다(28/28). 오늘 고친 감싸개 규칙과 08 검수시나리오 새 항목 셋이 아직 안 구워졌다 — 판매팩 스펙팩 옛것·다시 구울 것,판매용_템플릿/_판매팩/*/07_AI빌드_스펙팩.md,마무리에넘김(28칸 스펙팩 다시 구울 것)
2026-08-19,pack-qa-userpack,생성팩(공통),적어둠,검수 시나리오 시트의 칸 너비가 9개만 적혀 있는데 머리줄은 10칸이다(비고 칸이 기본 너비로 나간다). app/ 아래라 읽기만 함,app/(app)/dashboard/zip-all-button.tsx:435,못고침(우리 사이트 코드는 읽기만)
2026-08-19,pack-qa-userpack,생성팩(공통),검사기,고친 뒤 다시 돌림 — npx tsc --noEmit 오류 0 · check-presets 통과 · check-design 통과(봐줄 만한 것 6건) · check-pack 통과,,해당없음
